"site_code","treatment","avg_mass","avg_seeds","avg_length","avg_width","avg_volume","prop_cylindrical","avg_seed_mass_ratio","n_cucumbers","Site","Area_m2","Plots","WealthIndex","tcc200m","imp200m","tcc500m","imp500m","CWD_m2","wood_m2","FWD_m2","logs","bareground_m2","floral_area_m2","dev_high500m","dev_low500m","wetland500m","water500m","dev_high1000m","dev_low1000m","water1000m","wetland1000m","shrub_grass1000m","gbif.rich","gbif.shannon","gbif.simpson","floral.obs","flor.rich","flor.shannon","flor.simpson","bee.rich","bee.shannon","bee.simpson"
"GABR","Control",168.92,89.25,111.98,51.0925,170,0.75,0.543976308910383,4,"Gabriel Cam Memorial Community Garden",738,30,64,9.160583942,45.61313869,9.752009185,51.54305396,2.565,22.8,0,3,0,81.218,0.49304813,0.506951872,0,0,0.49626142,0.50235392,0,0.0008307948,0.0005538632,72.2735849056604,38.768034128351,18.6216216216216,53,25,15.5605341902918,9.27062706270627,NA,NA,NA
"GABR","Pollinated",179.0325,68,112.185,55.865,187.5,0.75,0.397612760017317,4,"Gabriel Cam Memorial Community Garden",738,30,64,9.160583942,45.61313869,9.752009185,51.54305396,2.565,22.8,0,3,0,81.218,0.49304813,0.506951872,0,0,0.49626142,0.50235392,0,0.0008307948,0.0005538632,72.2735849056604,38.768034128351,18.6216216216216,53,25,15.5605341902918,9.27062706270627,NA,NA,NA
"GRE","Control",191.9175,111.833333333333,117.205,55.0316666666667,195.833333333333,0.833333333333333,0.606280086597347,12,"Greenway Community Garden",776,35,144,7.6,56.92142857,7.970251716,49.03546911,2.0575,0.65,0,0,0,179.891,0.53903743,0.460962567,0,0,0.49196676,0.50803324,0,0,0,145.151219512195,65.2410221608637,26.3571428571428,124,57,42.1866426716896,31.2520325203252,NA,NA,NA
"GRE","Pollinated",189.656666666667,113.666666666667,113.9525,54.9191666666667,192.916666666667,0.75,0.678927198413681,12,"Greenway Community Garden",776,35,144,7.6,56.92142857,7.970251716,49.03546911,2.0575,0.65,0,0,0,179.891,0.53903743,0.460962567,0,0,0.49196676,0.50803324,0,0,0,145.151219512195,65.2410221608637,26.3571428571428,124,57,42.1866426716896,31.2520325203252,NA,NA,NA
"GW","Control",162.69,87.6666666666667,101.946666666667,45.13,161.666666666667,0.666666666666667,1.1546829872589,3,"GW School and Community Garden",474,13,157,3.464285714,53.03571429,7.095183486,52.36353211,0,37.44,0,1,12.2075,123.114,0.56990395,0.430096051,0,0,0.50055494,0.49944506,0,0,0,74.2116013071895,58.6594892103729,38.6101694915255,81,49,38.5708711382307,29.6877828054298,NA,NA,NA
"GW","Pollinated",87.4,22,96.12,40.77,100,0,0.251716247139588,1,"GW School and Community Garden",474,13,157,3.464285714,53.03571429,7.095183486,52.36353211,0,37.44,0,1,12.2075,123.114,0.56990395,0.430096051,0,0,0.50055494,0.49944506,0,0,0,74.2116013071895,58.6594892103729,38.6101694915255,81,49,38.5708711382307,29.6877828054298,NA,NA,NA
"JEF","Control",NA,NA,NA,NA,NA,NA,NA,0,"Jefferson Green Community Garden",1104,28,66,13.89781022,45.51094891,12.30080367,47.19862227,0,175.9325,0,3,5.39,226.324,0.44064171,0.559358289,0,0,0.3514262,0.50401551,0.0008307948,0.101910828,0.0418166713,164.401780038144,99.0935959248539,59.7235294117647,212,92,62.0891194896476,42.0823970037453,NA,NA,NA
"JEF","Pollinated",NA,NA,NA,NA,NA,NA,NA,0,"Jefferson Green Community Garden",1104,28,66,13.89781022,45.51094891,12.30080367,47.19862227,0,175.9325,0,3,5.39,226.324,0.44064171,0.559358289,0,0,0.3514262,0.50401551,0.0008307948,0.101910828,0.0418166713,164.401780038144,99.0935959248539,59.7235294117647,212,92,62.0891194896476,42.0823970037453,NA,NA,NA
"KCA","Control",80.06,45.25,79.795,42.9525,100,0,0.561173321359554,4,"KCAA Community Studio Garden",332,18,106,12.15,46.25,14.04123711,41.28636884,2.11,80.945,0,0,4.395,52.937,0.24733475,0.720682303,0.002132196,0.029850746,0.24014436,0.73431427,0.0233203776,0.0022209883,0,122.333333333333,101.104036072715,70,78,50,42.534023024532,35.3720930232558,NA,NA,NA
"KCA","Pollinated",75.2533333333333,23.6666666666667,83.2366666666667,40.0833333333333,76.6666666666667,0.333333333333333,0.298829448056675,3,"KCAA Community Studio Garden",332,18,106,12.15,46.25,14.04123711,41.28636884,2.11,80.945,0,0,4.395,52.937,0.24733475,0.720682303,0.002132196,0.029850746,0.24014436,0.73431427,0.0233203776,0.0022209883,0,122.333333333333,101.104036072715,70,78,50,42.534023024532,35.3720930232558,NA,NA,NA
"MAR","Control",153.843333333333,71.6666666666667,116.363333333333,48.73,156.666666666667,0.666666666666667,0.56320335539638,3,"Market Station Community Garden",489,33,105,0.2949640288,85.15827338,0.5812356979,82.097254,0,5.75,0,0,0,34.947,0.9989373,0.001062699,0,0,0.95669073,0.04330927,0,0,0,196.422847985348,133.984047768806,91.3672316384181,64,34,26.3275214981617,20.6868686868687,NA,NA,NA
"MAR","Pollinated",155.7965,71.8333333333333,103.661666666667,53.1216666666667,156.666666666667,0.5,0.439459930001189,6,"Market Station Community Garden",489,33,105,0.2949640288,85.15827338,0.5812356979,82.097254,0,5.75,0,0,0,34.947,0.9989373,0.001062699,0,0,0.95669073,0.04330927,0,0,0,196.422847985348,133.984047768806,91.3672316384181,64,34,26.3275214981617,20.6868686868687,NA,NA,NA
"PAL","Control",153.36,43,104.34,45.525,155,0,0.244990520996611,2,"Palmer School Community Garden",649,20,138,14.62142857,43.30714286,14.22183908,45.03563218,0,129.1329,0,0,0,131.517,0.28601921,0.71398079,0,0,0.27984453,0.72015547,0,0,0,83.9982638888889,63.4481888379377,30.4864864864864,78,39,30.5444568653944,24.1428571428571,NA,NA,NA
"PAL","Pollinated",154.79,115.333333333333,125.6,43.4266666666667,150,0.666666666666667,0.740781311664458,3,"Palmer School Community Garden",649,20,138,14.62142857,43.30714286,14.22183908,45.03563218,0,129.1329,0,0,0,131.517,0.28601921,0.71398079,0,0,0.27984453,0.72015547,0,0,0,83.9982638888889,63.4481888379377,30.4864864864864,78,39,30.5444568653944,24.1428571428571,NA,NA,NA
"PAR","Control",159.174285714286,79.1428571428571,110.571428571429,51.7242857142857,162.857142857143,0.571428571428571,0.495373375928231,7,"Park Hill School Garden",738,16,243,22.05714286,37.74285714,17.71788991,39.8440367,1.3,17.4225,4.8,0,11.47,225.194,0.18696581,0.813034188,0,0,0.178522,0.821478,0,0,0,94.535,71.0636840900204,33.1081081081082,192,98,68.5977849272838,44.7378640776698,NA,NA,NA
"PAR","Pollinated",161.108,60.2,96.712,58.592,164,0.4,0.359152642994876,5,"Park Hill School Garden",738,16,243,22.05714286,37.74285714,17.71788991,39.8440367,1.3,17.4225,4.8,0,11.47,225.194,0.18696581,0.813034188,0,0,0.178522,0.821478,0,0,0,94.535,71.0636840900204,33.1081081081082,192,98,68.5977849272838,44.7378640776698,NA,NA,NA
"RUB","Control",179.4275,70,104.365,60.585,182.5,0.25,0.395568448740935,4,"Ruby Hill Park Community Garden",858,56,62,6.928057554,27.20143885,10.23482245,33.73081329,0.765,40.67,2.38,0,0,231.329,0.20704376,0.792956243,0,0,0.37576093,0.62119535,0.0030437189,0,0,114.75,86.7513652962033,57.0967741935483,193,79,52.8456462087093,32.0283748925194,NA,NA,NA
"RUB","Pollinated",170.84,39,90.32,59.83,170,0,0.228283774291735,1,"Ruby Hill Park Community Garden",858,56,62,6.928057554,27.20143885,10.23482245,33.73081329,0.765,40.67,2.38,0,0,231.329,0.20704376,0.792956243,0,0,0.37576093,0.62119535,0.0030437189,0,0,114.75,86.7513652962033,57.0967741935483,193,79,52.8456462087093,32.0283748925194,NA,NA,NA
