"spec_ID","site_code","spec.obs"
"Melissodes agilis","EDI",54
"Melissodes agilis","EIB",19
"Melissodes agilis","GABL",17
"Melissodes agilis","GABR",10
"Melissodes agilis","GRE",22
"Melissodes agilis","GW",8
"Melissodes agilis","JEF",16
"Melissodes agilis","KCA",8
"Melissodes agilis","PAL",56
"Melissodes agilis","PAR",62
"Melissodes agilis","RUB",35
"Melissodes agilis","SAB",7
"Melissodes agilis","SAM",26
"Melissodes agilis","SHO",22
"Melissodes agilis","SLA",16
"Melissodes agilis","STE",23
"Melissodes agilis","WES",15
"Melissodes bimaculatus","APP",5
"Melissodes bimaculatus","CHA",9
"Melissodes bimaculatus","COO",1
"Melissodes bimaculatus","EDI",6
"Melissodes bimaculatus","EIB",2
"Melissodes bimaculatus","GABL",2
"Melissodes bimaculatus","GABR",6
"Melissodes bimaculatus","GRE",2
"Melissodes bimaculatus","GW",8
"Melissodes bimaculatus","KCA",3
"Melissodes bimaculatus","PAL",1
"Melissodes bimaculatus","PAR",3
"Melissodes bimaculatus","RUB",6
"Melissodes bimaculatus","SAB",1
"Melissodes bimaculatus","SAM",1
"Melissodes bimaculatus","SHO",5
"Melissodes bimaculatus","SLA",2
"Melissodes bimaculatus","WES",3
"Melissodes communis","RUB",1
"Melissodes coreopsis","SAB",1
"Melissodes niveus","CHA",1
"Melissodes niveus","GABL",4
"Melissodes niveus","GW",1
"Melissodes niveus","PAL",1
"Melissodes sp1","CHA",1
"Melissodes sp2","COO",1
"Melissodes sp2","SLA",1
"Melissodes tristis","CHA",2
"Melitoma grisella","GABR",1
"Melitoma grisella","SAM",3
"NA spp.","CHA",1
"NA spp.","COO",1
"NA spp.","EIB",3
"NA spp.","GABL",1
"NA spp.","GABR",1
"NA spp.","JEF",4
"NA spp.","KCA",1
"NA spp.","MAR",1
"NA spp.","PAR",1
"NA spp.","RUB",1
"NA spp.","SAM",3
"NA spp.","STE",1
"Osmia inermis","SLA",2
"Perdita sp1","EDI",1
"Perdita sp2","GABL",1
"Perdita sp3","SAM",1
"Perdita spp.","GRE",1
"Svastra obliqua","APP",1
"Xeromelecta interrupta","EDI",1
