date,time,site,color ,level,amb_C°,C°_top_s,C°_bot_s,C°_top_b ,C°_bot_b,C°_cent_s,C°_cent_b,Humidity,Notes 
08/01/25,9:44,GABL,W,B,21.1,29.1,24.7,23.4,24.5,24.3,24.2,21.1,
08/01/25,10:42,SAB,W,T,25.6,26.4,25.7,26.2,26.4,26,26,25.1,
08/01/25,10:42,,B,B,25.6,27.6,29.8,35,31.2,30.9,29.5,25.1,
08/01/25,11:00,KCA,B,T,25.9,31.1,28.4,33,35.8,27.6,27.5,24.8,
08/01/25,11:00,KCA,W,B,25.9,28.1,25.9,25.4,25.6,25.4,25.4,24.8,
08/01/25,11:48,WES,W,T,26.4,26.3,24.3,26,26.3,26.2,26,27.5,
08/01/25,11:48,WES,B,B,26.4,32.7,28,28.5,28.4,28.2,28.4,27.5,
08/01/25,12:18,SHO,B,T,28.8,41.4,35.4,34.2,39.2,36.9,37.1,28.5,
08/01/25,12:18,SHO,W,B,28.8,38.5,32,31.6,32.4,32.6,31.7,28.5,
08/01/25,1:37,SLA,B,T,23.8,24.7,24.8,25.8,25.2,25.4,26.3,22.7,
08/01/25,1:37,SLA,W,B,23.8,24.2,24.2,24.1,24.4,24,24.4,22.7,
08/01/25,2:16,EIB,W,T,23.5,23.4,23.6,23.2,24.2,24.3,24.6,22.8,
08/01/25,2:16,EIB,B,B,23.5,24.8,24.9,25.2,25.4,25.4,25.7,22.8,
08/01/25,2:59,APP,B,T,,,,,,,,,
08/01/25,2:59,APP,W,B,,,,,,,,,
08/01/25,10:15,RUB,W,T,27.9,27.5,27.5,27.7,27,27.3,27.2,27.1,
08/01/25,10:15,,B,B,30.2,29.1,28.8,29.3,30,29.6,29.7,27.1,
08/01/25,11:30,CHA,W,B,29.9,30.1,29.7,30.6,30.4,29.7,30.6,31.2,
08/01/25,11:30,,B,T,29.9,38.1,35.4,36.4,36.7,35.5,35,31.2,
08/01/25,13:03,COO,W,T,33.9,34.7,34.7,35,35,35,34.8,33.11,
08/01/25,13:03,COO,B,B,33.9,35.4,37,40.7,39.8,37.5,37.9,33.1,
08/01/25,13:40,PAL,W,T,34.9,38.5,39.1,401,39.9,39.5,39.3,33,
08/01/25,13:40,PAL,B,B,34.9,40.7,41,40.6,40.4,39.8,41.3,33,
08/01/25,14:40,PAR,B,T,34.3,38.5,37.6,39.1,40.8,39.6,40.4,34.9,
08/01/25,14:40,PAR,W,B,34.3,35.1,34.5,34.3,34.7,34.8,33,34.9,
08/01/25,15:09,GRE,B,T,35.3,37,35.3,36.2,36.3,35.8,37,33.2,
08/01/25,15:09,GRE,W,B,35.3,35,34,33,33.1,33.3,33.6,33.2,
08/01/25,15:53,GAB,W,T,35,34.1,34.4,34.3,34.4,34.7,34.6,32.7,
08/01/25,15:53,GAB,B,B,35,35.6,35.7,37.4,36.4,36.2,35.9,32.7,
08/01/25,10:59,,,,,,,,,,,,
08/01/25,10:59,,,,,,,,,,,,
08/01/25,11:30,,,,,,,,,,,,
08/01/25,11:30,,,,,,,,,,,,
08/01/25,11:56,,,,,,,,,,,,
08/01/25,11:56,,,,,,,,,,,,
08/01/25,12:18,,,,,,,,,,,,
08/01/25,12:18,,,,,,,,,,,,
08/01/25,,,,,,,,,,,,,
08/01/25,14:51,,,,,,,,,,,,
08/01/25,15:09,,,,,,,,,,,,
08/01/25,,,,,,,,,,,,,
08/01/25,,,,,,,,,,,,,
08/01/25,,,,,,,,,,,,,
08/01/25,,,,,,,,,,,,,
08/01/25,,,,,,,,,,,,,
08/01/25,,,,,,,,,,,,,
08/01/25,,,,,,,,,,,,,
08/01/25,,,,,,,,,,,,,
08/01/25,,,,,,,,,,,,,
08/01/25,,,,,,,,,,,,,
08/01/25,,,,,,,,,,,,,
08/01/25,,,,,,,,,,,,,
08/01/25,,,,,,,,,,,,,
08/01/25,,,,,,,,,,,,,
08/01/25,,,,,,,,,,,,,
08/01/25,,,,,,,,,,,,,
08/01/25,,,,,,,,,,,,,
08/01/25,,,,,,,,,,,,,
08/01/25,,,,,,,,,,,,,
