date,time,site,color ,level,amb_C°,C°_top_s,C°_bot_s,C°_top_b ,C°_bot_b,C°_cent_s,C°_cent_b,Humidity,Notes 
6/7/25,11:53,COO,W,T,26.4,26,24.3,28.7,26.1,24.5,24.2,,sunny + humid 
6/7/25,11:53,COO,B,B,26.4,27,28.4,36.7,25.2,25.6,30.1,,sunny + humid 
6/7/25,12:15,CHA,B,T,26.5,36.3,29.7,36,30,31.3,34.4,,sunny + humid 
6/7/25,12:15,CHA,W,B,26.5,24.8,25.9,27.6,25.7,25.4,27.1,,sunny + humid 
6/7/25,12:37,RUB,W,T,28,27.7,25.7,26.7,28.1,28.3,26,,sunny + humid 
6/7/25,12:37,RUB,B,B,28,33.7,27.5,26.8,29.5,28.2,28.5,,sunny + humid 
6/7/25,13:18,PAL,W,T,29.3,27.7,27,27.3,27.3,27.6,25.9,,sunny + humid 
6/7/25,13:18,PAL,B,B,29.3,29,29.2,28.2,29.4,29.3,28.5,,sunny + humid 
6/7/25,13:32,PAR,B,T,28.6,37.1,30.5,36.5,30.7,32.6,35.4,,sunny + humid
6/7/25,13:32,PAR,W,B,28.6,27.7,27.9,26.9,28.3,28,27.7,,sunny + humid 
6/7/25,9:54,APP,B,T,22.6,32.7,25.6,29.1,35.3,36.3,29.3,,
6/7/25,9:54,APP,W,B,22.6,22.9,22.1,24.5,21,23.1,20.8,,
6/7/25,10:09,SLA,B,T,24.9,29.6,26.2,36,28,26.4,27,,
6/7/25,10:09,SLA,W,B,24.9,22.4,21.6,21.8,21.4,21.7,21.1,,
6/7/25,10:20,EIB,W,T,27,22.1,22.1,21.8,23.5,20.8,21.5,,
6/7/25,10:20,EIB,B,B,27,33.3,25.3,30.8,31.1,25.8,27.2,,
6/7/25,10:39,GAB,B,T,26.9,31.2,27.3,25.6,26.6,25.6,25.3,,
6/7/25,10:39,GAB,W,B,26.9,23.8,24.3,23,23.7,22.8,23.6,,
6/7/25,10:58,SAB,W,T,26.3,25,25.4,25.3,27.5,25.6,25,,
6/7/25,10:58,SAB,B,B,26.3,29.3,32.1,29,29.1,28.6,28.6,,
6/7/25,11:15,KCAA,B,T,28.6,28.1,27.9,26.7,28.6,25.1,25.6,,
6/7/25,11:15,KCAA,W,B,28.7,24.8,23.4,24.2,23.7,24,24.3,,
6/7/25,11:39,WES ,W,T,25.6,26.1,24.1,25.5,25.1,26,24.5,,
6/7/25,11:39,WES ,B,B,25.6,32.8,26.6,29.3,25.1,28.2,27.8,,
6/7/25,12:01,SHO,B,T,29.4,35.6,27.9,35.7,31.2,28.1,25.1,,
6/7/25,12:01,SHO,W,B,29.4,24.6,22.8,25.1,23.6,23.5,24.5,,
6/13/25,10:30,GAB,B,T,29,30.2,30.5,38.7,35.3,33,32.5,34,
6/13/25,10:30,GAB,W,B,29,29.5,28.1,27.1,26.7,27.4,26.2,34,
6/13/25,10:58,SAB,W,T,29.5,29.5,29.5,29,29,29.1,28.7,57.3,
6/13/25,10:58,SAB,B,B,29.5,30.7,32.2,37.3,35.8,34,34,57.3,
6/13/25,11:19,KCAA,B,T,28,36.1,34.3,36.6,35.2,33.6,34.3,34.3,
6/13/25,11:19,KCAA,W,B,28,31.4,30.8,30.1,29.9,30.1,30,34.3,
6/13/25,12:23,SHO,B,T,35.5,39.6,37,39.9,38.6,38.2,40.3,32.5,
6/13/25,12:23:00 PM,SHO,W,B,35.5,37.7,35.3,34.1,33.8,33.7,33.3,32.5,
6/13/25,13:37,EDI,,,29.2,,,,,,,40.1,
6/13/25,14:40,Colfax,W,T,29.6,29.5,29.7,29.7,29.7,30,30.1,34,LIKELY INDOOR TEMPS
6/13/25,14:00,Colfax,B,B,29.6,31.3,31.6,32.7,33,33.4,33.5,34,LIKELY INDOOR TEMPS
6/13/25,14:24,SLA,B,T,32.2,40.1,38.5,40.3,40.1,37.7,37.5,31,
6/13/25,14:24,SLA,W,B,32.2,34.2,33.6,33.4,33,32,31.9,31,
6/13/25,14:49,EIB,W,T,32.3,33.7,33.6,33.7,33.7,33.8,33.7,40.7,LIKELY INDOOR TEMPS
6/13/25,14:49,EIB,B,B,32.3,34.8,36.9,44.1,42,39.1,38.7,40.7,LIKELY INDOOR TEMPS
6/13/25,15:16,APP,B,T,34.2,37.4,38.8,44.1,42.8,41.2,40.9,23.5,
6/13/25,15:16,APP,W,B,34.2,37.4,34.2,33.8,33.6,33.5,33.1,23.5,
6/20/25,9:13,RUB,W,T,30,33.1,33.2,32.1,31.9,32.2,32,22,
6/20/25,9:13,RUB,B,B,30,38.1,35.4,37.8,39.7,38.7,37.6,22,
6/20/25,9:39,CHA,B,T,31.8,39,37,36.2,36.1,36,36.1,20.2,
6/20/25,9:39,CHA,W,B,31.8,35.1,32.8,32.4,35.8,35.9,31.6,20.2,
6/20/25,10:10,SAM,,,32.3,,,,,,,21.5,
6/20/25,10:40,COO,W,T,36.1,41.1,39,41.4,41.3,36.6,35.7,17.7,
6/20/25,10:40,COO,B,B,36.1,41.2,38.6,40.7,40.8,38.7,40.7,17.7,
6/20/25,11:23,GAB,W,T,34.7,35,34.9,35.3,34.8,34.8,34.9,19,
6/20/25,11:23,GAB,B,B,34.7,40.3,38.8,42.2,41.1,40.3,40.5,19,
6/20/25,12:11,GEO,,,34.6,,,,,,,14.2,
6/20/25,12:59,GRE,B,T,35.4,42,41.2,44.4,42.7,41.7,41,17.7,
6/20/25,12:59,GRE,W,B,35.4,38.9,37.9,37,36.8,36.5,36.2,17.7,
6/20/25,12:59,PAR,B,T,37.4,40.5,40.2,42.8,43.3,41.7,39.8,17.2,
6/20/25,1:26,PAR,W,B,37.4,36.1,36,35.8,36,36,36.1,14.7,LIKELY INDOOR TEMP TAKEN
6/20/25,1:51,PAL,W,T,39.1,37.7,38.3,38.6,38.9,39.2,39,14.7,LIKELY INDOOR TEMP TAKEN
6/20/25,1:51,PAL,B,B,39.1,39.3,40,41.4,41.7,40.8,40.1,19.7,
6/20/25,2:23,STE,,,36.2,,,,,,,,
13/6/25,10:50,CHA,B,T,27.3,36.3,32.8,33.9,34.3,33.7,33.6,40,
13/6/25,10:50,CHA,W,B,27.3,30.1,29.5,29.7,29.6,28.9,28.7,40,
13/6/25,11:20,RUB,W,T,30.3,29.8,29.8,30.3,30.4,30.4,30.3,32.8,
13/6/25,11:20,RUB,B,B,30.3,36.1,34.5,36.9,35.3,35,34.9,32.8,
13/6/25,12:00,MAR,,,32,,,,,,,30,
13/6/25,12:00,STE,,,30.4,,,,,,,32.2,
13/6/25,13:23,PAL,W,T,33.4,31.5,31.6,31.8,32,32.7,32.8,29.2,
13/6/25,13:23,PAL,B,B,33.4,32.6,33.4,34.1,34.6,34.4,34.4,29.2,
13/6/25,13:37,PAR,B,T,31.5,31.5,34,34.5,38.4,36.3,35.4,33.1,
13/6/25,17:07:00 PM,PAR,W,B,31.7,34.4,33.5,33.3,33.4,33.6,33.6,32.5,
13/6/25,14:40,GRE,B,T,33.3,38.5,36.5,39.7,38,37.6,37,24.8,
13/6/25,14:40,GRE,W,B,33.3,35.1,33.8,33.6,33,33,32.7,24.8,
