Site,site_code,date,plant_code,treatment,mass_g,no_seeds,length_mm,width,volume_mL,cylindrical,notes,,
West Colfax Community Urban Garden,WES,7/5,WES-pre-T,Pollinated,229.22,85,125.53,59.13,230,Yes,bottom of cucumber pinched by fence,,
Applewood Community Garden,APP,7/8,APP-pol1-C,Control,218.46,32,137.16,51,220,Yes,,,
West Colfax Community Urban Garden,WES,7/8,WES-pol-2-c,Control,135.39,44,99.93,51.51,130,No,,,
Cook Park Community Garden,COO,7/11,COO-pol-1-C,Control,324.1,69,148.81,65.07,350,Yes,,,
Market Station Community Garden,MAR,7/10,MAR-pre-c,Control,215.68,53,125.59,54.17,230,Yes,,,
Cook Park Community Garden,COO,7/11,COO-pol-2-t,Pollinated,196.53,82,105.37,59.39,210,No,,,
Samuels School Community Garden,SAM,7/11,SAM-pol-1-c,Control,121.54,32,90.98,48.37,120,No,,,
Steck School Community Garden,STE,7/11,STE-pre-t,Pollinated,236.52,97,134.38,56.75,240,Yes,,,
Samuels School Community Garden,SAM,7/11,SAM-pol-2-c,Control,169.42,77,100.2,64.07,170,No,,,
Market Station Community Garden,MAR,,MAR-pol-1-t,Pollinated,144.58,85,111.85,42.3,150,Yes,,,
Market Station Community Garden,MAR,7/10,MAR-pol-2-c,Pollinated,176.84,167,119.96,47.41,170,Yes,,,
Edison School Community Garden,EDI,7/11,EDI-pol2-c,Control,178.76,37,100.71,60.15,190,Yes,,,
Slater Elementary School Community Garden,SLA,7/11,SLA-pol2-c,Control,108.04,75,101.18,44.13,110,Yes,,,
Edison School Community Garden,EDI,7/11,EDI-pol1-c,Control,155.64,56,112.55,53.48,170,Yes,,,
Gabriel Cam Memorial Community Garden,GABR,7/15,GABR-pol2-c,Control,179.65,84,123.8,48.93,190,Yes,,,
Gables School and Community Garden,GABL,7/11,GABL-pol1-c,Control,110.89,11,99.19,46.39,110,No,,,
Greenway Community Garden,GRE,7/15,GRE-pol2-t,Pollinated,180.89,106,133.56,48.96,180,Yes,,,
Shoshone Community Garden,SHO,7/15,SHO-pol1-c,Control,130.9,29,102.58,49.11,130,No,,,
Park Hill School Garden,PAR,7/15,PAR-pol2-t,Pollinated,166.11,57,110.76,57.65,170,No,,,
Palmer School Community Garden,PAL,7/15,PAL-pol1-c,Control,189.22,75,112.82,41.46,190,No,,,
Shoshone Community Garden,SHO,7/15,SHO-pre-c,Control,284.8,56,134.26,59.56,290,Yes,,,
GW School and Community Garden,GW,7/15,GW-pol2-c,Control,208.43,108,131.81,51.86,210,Yes,,,
Gables School and Community Garden,GABL,7/11,GABL-pol1-t,Pollinated,177.41,44,99.52,68.09,180,Yes,,,
Eiber School Community Garden,EIB,7/1,EIB-pre-c-a,Control,149.82,28,95.39,56.49,160,Yes,,,
KCAA Community Studio Garden,KCA,7/18,KCA-pre-c,Control,58.21,38,71.23,42,60,No,,,
Samuels School Community Garden,SAM,7/18,SAM-pol2-t,Pollinated,118.98,25,90.6,57.17,110,No,,,
Samuels School Community Garden,SAM,7/18,SAM-pol2-c,Control,64.55,81,80.46,40.75,60,No,,,
Ruby Hill Park Community Garden,RUB,7/18,RUB-pre-c,Control,144.98,57,89.25,59.58,140,No,,,
Greenway Community Garden,GRE,7/18,GRE-pol2-t,Pollinated,109.11,166,112.89,39.81,110,Yes,,,
Cook Park Community Garden,COO,7/18,COO-pre-t,Pollinated,239.67,129,134.74,54.65,240,Yes,,,
Palmer School Community Garden,PAL,7/18,PAL-pre-c,Control,117.5,11,95.86,49.59,120,No,,,
Palmer School Community Garden,PAL,7/18,PAL-pol1-t,Pollinated,135.59,55,101,40.68,120,No,,,
KCAA Community Studio Garden,KCA,7/15,KCA-pol1-c,Control,128.19,76,99.72,43.72,130,No,,,
Ruby Hill Park Community Garden,RUB,7/18,RUB-pre-t,Pollinated,170.84,39,90.32,59.83,170,No,,,
Charles Hay Community Garden,CHA,7/18,CHA-pre-c,Control,146.77,63,87.55,59.93,150,No,,,
Park Hill School Garden,PAR,7/18,PAR-pre-t,Pollinated,123.78,28,89.5,61.05,120,No,,,
Gabriel Cam Memorial Community Garden,GABR,7/18,GABR-pol1-t,Pollinated,154.88,135,108.9,51.45,150,Yes,,,
Edison School Community Garden,EDI,7/18,EDI-pre-c,Control,206.4,60,115.96,55.78,200,Yes,,,
Applewood Community Garden,APP,7/18,APP-pre-c,Control,88.11,16,98.21,33.64,80,No,,,
Ruby Hill Park Community Garden,RUB,7/18,RUB-pol2-c,Control,195.38,52,103.88,63.14,200,No,,,
Steck School Community Garden,STE,7/22,STE-pre-c,Control,155.85,38,105.41,56.65,150,No,,,
