"","spec_ID","site_code","spec.obs"
"163","Lasioglossum Dialictus zephyrus","COO",2
"164","Lasioglossum Dialictus zephyrus","EDI",2
"165","Lasioglossum Dialictus zephyrus","EIB",2
"166","Lasioglossum Dialictus zephyrus","GABL",1
"167","Lasioglossum Dialictus zephyrus","JEF",2
"168","Lasioglossum Dialictus zephyrus","KCA",1
"169","Lasioglossum Dialictus zephyrus","PAL",7
"170","Lasioglossum Dialictus zephyrus","RUB",3
"171","Lasioglossum Dialictus zephyrus","SAB",1
"172","Lasioglossum Dialictus zephyrus","SAM",1
"173","Lasioglossum Dialictus zephyrus","SHO",1
"174","Lasioglossum Dialictus zephyrus","SLA",1
"175","Lasioglossum Dialictus zephyrus","STE",3
"176","Lasioglossum Evylaeus spp.","EDI",3
"177","Lasioglossum Evylaeus spp.","GABL",1
"178","Lasioglossum Evylaeus spp.","GRE",3
"179","Lasioglossum Evylaeus spp.","GW",1
"180","Lasioglossum Evylaeus spp.","JEF",1
"181","Lasioglossum Evylaeus spp.","PAL",3
"182","Lasioglossum Evylaeus spp.","PAR",1
"183","Lasioglossum Evylaeus spp.","SAM",1
"184","Lasioglossum Evylaeus spp.","SLA",1
"185","Lasioglossum Sensu Stricto sisymbri","SAM",1
"186","Lasioglossum Sensu Stricto spp.","APP",1
"187","Lasioglossum Sensu Stricto spp.","CHA",1
"188","Lasioglossum Sensu Stricto spp.","PAL",1
"189","Lasioglossum Sensu Stricto spp.","PAR",1
"190","Lasioglossum Sensu Stricto spp.","WES",1
"191","Lithurgopsis apicalis","KCA",2
"192","Megachile brevis","MAR",1
"193","Megachile centuncularis","COO",1
"194","Megachile nivalis","STE",1
"195","Megachile parallela","KCA",1
"196","Megachile rotundata","GABL",1
"197","Melissodes agilis","APP",26
"198","Melissodes agilis","CHA",112
"199","Melissodes agilis","COO",50
"200","Melissodes agilis","EDI",54
"201","Melissodes agilis","EIB",19
"202","Melissodes agilis","GABL",17
"203","Melissodes agilis","GABR",10
"204","Melissodes agilis","GRE",22
"205","Melissodes agilis","GW",8
"206","Melissodes agilis","JEF",16
"207","Melissodes agilis","KCA",8
"208","Melissodes agilis","PAL",56
"209","Melissodes agilis","PAR",62
"210","Melissodes agilis","RUB",35
"211","Melissodes agilis","SAB",7
"212","Melissodes agilis","SAM",26
"213","Melissodes agilis","SHO",22
"214","Melissodes agilis","SLA",16
"215","Melissodes agilis","STE",23
"216","Melissodes agilis","WES",15
"217","Melissodes bimaculatus","APP",5
"218","Melissodes bimaculatus","CHA",9
"219","Melissodes bimaculatus","COO",1
"220","Melissodes bimaculatus","EDI",6
"221","Melissodes bimaculatus","EIB",2
"222","Melissodes bimaculatus","GABL",2
"223","Melissodes bimaculatus","GABR",6
"224","Melissodes bimaculatus","GRE",2
"225","Melissodes bimaculatus","GW",8
"226","Melissodes bimaculatus","KCA",3
"227","Melissodes bimaculatus","PAL",1
"228","Melissodes bimaculatus","PAR",3
"229","Melissodes bimaculatus","RUB",6
"230","Melissodes bimaculatus","SAB",1
"231","Melissodes bimaculatus","SAM",1
"232","Melissodes bimaculatus","SHO",5
"233","Melissodes bimaculatus","SLA",2
"234","Melissodes bimaculatus","WES",3
"235","Melissodes communis","RUB",1
"236","Melissodes coreopsis","SAB",1
"237","Melissodes niveus","CHA",1
"238","Melissodes niveus","GABL",4
"239","Melissodes niveus","GW",1
"240","Melissodes niveus","PAL",1
"241","Melissodes sp1","CHA",1
"242","Melissodes sp2","COO",1
"243","Melissodes sp2","SLA",1
"244","Melissodes spp.","APP",1
"245","Melissodes spp.","GABR",1
"246","Melissodes spp.","RUB",1
"247","Melissodes spp.","WES",1
"248","Melissodes tristis","CHA",2
"249","Melitoma grisella","GABR",1
"250","Melitoma grisella","SAM",3
"251","NA spp.","CHA",1
"252","NA spp.","COO",1
"253","NA spp.","EIB",3
"254","NA spp.","GABR",1
"255","NA spp.","JEF",4
"256","NA spp.","PAR",1
"257","NA spp.","SAM",3
"258","Osmia inermis","SLA",2
"259","Perdita sp1","EDI",1
"260","Perdita sp2","GABL",1
"261","Perdita sp3","SAM",1
"262","Perdita spp.","GRE",1
"263","Protandrena spp.","PAR",1
"264","Sphecodes davisii","RUB",1
"265","Sphecodes spp.","PAL",2
"266","Sphecodes spp.","RUB",1
"267","Svastra obliqua","APP",1
